Module, Date, Time (PDT), Vin (V), Iin (A), Vout (V), Iout (A), Power (W)
M421101006AJB, 2015-6-15, 5:44:00, 31.843750, 0.030502, 31.796875, 0.001648, 0.052400
M421101006AJB, 2015-6-15, 5:46:00, 33.718750, 0.025192, 33.718750, 0.000320, 0.010805
M431101029AJ2, 2015-6-15, 5:46:00, 29.828125, 0.030182, 29.812500, 0.002640, 0.078698
M421101006AJB, 2015-6-15, 5:46:00, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
M421101006AJB, 2015-6-15, 5:47:00, 33.718750, 0.025192, 33.718750, 0.000320, 0.010805
M431101029AJ2, 2015-6-15, 5:48:00, 30.921875, 0.029510, 30.921875, 0.002975, 0.092007
M431101029AJ2, 2015-6-15, 5:48:00, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
M421101006AJB, 2015-6-15, 5:48:00, 33.718750, 0.025192, 33.718750, 0.000320, 0.010805
M431101029AJ2, 2015-6-15, 5:49:00, 30.921875, 0.029510, 30.921875, 0.002975, 0.092007
M421101006AJB, 2015-6-15, 5:50:00, 35.500000, 0.047760, 35.093750, 0.021545, 0.756109
M431101029AJ2, 2015-6-15, 5:50:00, 30.921875, 0.029510, 30.921875, 0.002975, 0.092007
M421101006AJB, 2015-6-15, 5:50:00, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
M421101006AJB, 2015-6-15, 5:51:00, 35.500000, 0.047760, 35.093750, 0.021545, 0.756109
M431101029AJ2, 2015-6-15, 5:52:00, 32.187500, 0.030502, 32.187500, 0.004639, 0.149307
M421101006AJB, 2015-6-15, 5:52:00, 35.500000, 0.047760, 35.093750, 0.021545, 0.756109
M461101053AJ8, 2015-6-15, 5:52:00, 31.609375, 0.029175, 31.609375, 0.002975, 0.094053
M431101029AJ2, 2015-6-15, 5:52:00, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
M431101029AJ2, 2015-6-15, 5:53:00, 32.187500, 0.030502, 32.187500, 0.004639, 0.149307
M421101006AJB, 2015-6-15, 5:53:00, 35.500000, 0.047760, 35.093750, 0.021545, 0.756109
M461101053AJ8, 2015-6-15, 5:54:00, 32.437500, 0.031494, 32.437500, 0.005295, 0.171750
M461101053AJ8, 2015-6-15, 5:54:00, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
M431101029AJ2, 2015-6-15, 5:54:00, 32.187500, 0.030502, 32.187500, 0.004639, 0.149307
M421101006AJB, 2015-6-15, 5:54:00, 35.500000, 0.047760, 35.093750, 0.021545, 0.756109
M461101053AJ8, 2015-6-15, 5:55:00, 32.437500, 0.031494, 32.437500, 0.005295, 0.171750
M431101029AJ2, 2015-6-15, 5:55:00, 33.656250, 0.031830, 33.656250, 0.006287, 0.211584
M421101006AJB, 2015-6-15, 5:56:00, 36.187500, 0.057709, 36.187500, 0.031830, 1.151842
M461101053AJ8, 2015-6-15, 5:56:00, 32.437500, 0.031494, 32.437500, 0.005295, 0.171750
M431101029AJ2, 2015-6-15, 5:56:00, 33.656250, 0.031830, 33.656250, 0.006287, 0.211584
M421101006AJB, 2015-6-15, 5:56:00, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
M461101053AJ8, 2015-6-15, 5:57:00, 33.750000, 0.027191, 33.750000, 0.002640, 0.089092
M431101029AJ2, 2015-6-15, 5:57:00, 34.218750, 0.031174, 34.218750, 0.006958, 0.238094
M421101006AJB, 2015-6-15, 5:57:00, 36.187500, 0.057709, 36.187500, 0.031830, 1.151842
